trial_number,value,params
0,3.3997582401240662,{'regularizacion': 23}
1,3.368901115205105,{'regularizacion': 31}
2,3.5677760060575383,{'regularizacion': 26}
3,3.4507782518970074,{'regularizacion': 26}
4,3.5876285392984806,{'regularizacion': 35}
5,3.385492575881507,{'regularizacion': 40}
6,3.7687075718287995,{'regularizacion': 33}
7,3.379010690929912,{'regularizacion': 35}
8,3.4331665305068886,{'regularizacion': 26}
9,3.723234688837483,{'regularizacion': 25}
10,3.3919463870961906,{'regularizacion': 33}
